department,jobtitle,gender,gender_count
Accounting,"Accountant I",Female,25
Accounting,"Accountant I",Male,37
Accounting,"Accountant II",Female,34
Accounting,"Accountant II",Male,29
Accounting,"Accountant II",Non-Conforming,2
Accounting,"Accountant III",Female,34
Accounting,"Accountant III",Male,34
Accounting,"Accountant III",Non-Conforming,3
Accounting,"Accountant IV",Female,30
Accounting,"Accountant IV",Male,38
Accounting,"Accountant IV",Non-Conforming,2
Accounting,"Accounting Assistant I",Female,34
Accounting,"Accounting Assistant I",Male,38
Accounting,"Accounting Assistant I",Non-Conforming,2
Accounting,"Accounting Assistant II",Female,26
Accounting,"Accounting Assistant II",Male,41
Accounting,"Accounting Assistant II",Non-Conforming,2
Accounting,"Accounting Assistant III",Female,26
Accounting,"Accounting Assistant III",Male,31
Accounting,"Accounting Assistant III",Non-Conforming,2
Accounting,"Accounting Assistant IV",Female,34
Accounting,"Accounting Assistant IV",Male,34
Accounting,Actuary,Female,9
Accounting,Actuary,Male,11
Accounting,"Administrative Assistant I",Female,2
Accounting,"Administrative Assistant I",Male,3
Accounting,"Administrative Assistant I",Non-Conforming,1
Accounting,"Administrative Assistant II",Female,3
Accounting,"Administrative Assistant III",Female,6
Accounting,"Administrative Assistant III",Male,2
Accounting,"Administrative Assistant IV",Female,2
Accounting,"Administrative Assistant IV",Male,3
Accounting,"Administrative Officer",Female,10
Accounting,"Administrative Officer",Male,11
Accounting,"Administrative Officer",Non-Conforming,1
Accounting,"Budget/Accounting Analyst I",Female,64
Accounting,"Budget/Accounting Analyst I",Male,54
Accounting,"Budget/Accounting Analyst I",Non-Conforming,2
Accounting,"Budget/Accounting Analyst II",Female,54
Accounting,"Budget/Accounting Analyst II",Male,73
Accounting,"Budget/Accounting Analyst II",Non-Conforming,3
Accounting,"Budget/Accounting Analyst III",Female,61
Accounting,"Budget/Accounting Analyst III",Male,65
Accounting,"Budget/Accounting Analyst III",Non-Conforming,4
Accounting,"Budget/Accounting Analyst IV",Female,62
Accounting,"Budget/Accounting Analyst IV",Male,69
Accounting,"Budget/Accounting Analyst IV",Non-Conforming,4
Accounting,"Cost Accountant",Female,106
Accounting,"Cost Accountant",Male,124
Accounting,"Cost Accountant",Non-Conforming,10
Accounting,"Financial Advisor",Female,13
Accounting,"Financial Advisor",Male,11
Accounting,"Financial Advisor",Non-Conforming,2
Accounting,"Financial Analyst",Female,25
Accounting,"Financial Analyst",Male,21
Accounting,"Financial Analyst",Non-Conforming,2
Accounting,"Payment Adjustment Coordinator",Female,5
Accounting,"Payment Adjustment Coordinator",Male,11
Accounting,"Senior Cost Accountant",Female,111
Accounting,"Senior Cost Accountant",Male,129
Accounting,"Senior Cost Accountant",Non-Conforming,8
Accounting,"Senior Financial Analyst",Female,10
Accounting,"Senior Financial Analyst",Male,14
Accounting,"Staff Accountant I",Female,153
Accounting,"Staff Accountant I",Male,204
Accounting,"Staff Accountant I",Non-Conforming,7
Accounting,"Staff Accountant II",Female,29
Accounting,"Staff Accountant II",Male,33
Accounting,"Staff Accountant II",Non-Conforming,3
Accounting,"Staff Accountant III",Female,31
Accounting,"Staff Accountant III",Male,38
Accounting,"Staff Accountant III",Non-Conforming,8
Accounting,"Staff Accountant IV",Female,44
Accounting,"Staff Accountant IV",Male,36
Accounting,"Staff Accountant IV",Non-Conforming,3
Accounting,"Structural Engineer",Female,12
Accounting,"Structural Engineer",Male,11
Accounting,"Tax Accountant",Female,90
Accounting,"Tax Accountant",Male,135
Accounting,"Tax Accountant",Non-Conforming,5
Accounting,"VP Accounting",Female,30
Accounting,"VP Accounting",Male,35
Auditing,"Internal Auditor",Female,19
Auditing,"Internal Auditor",Male,19
"Business Development","Business Analyst",Female,206
"Business Development","Business Analyst",Male,235
"Business Development","Business Analyst",Non-Conforming,18
"Business Development","Business Development Manager",Female,1
"Business Development","Business Development Manager",Male,4
"Business Development","Human Resources Analyst II",Female,1
"Business Development","Human Resources Analyst II",Male,1
"Business Development","Research Assistant I",Female,102
"Business Development","Research Assistant I",Male,124
"Business Development","Research Assistant I",Non-Conforming,6
"Business Development","Research Assistant II",Female,279
"Business Development","Research Assistant II",Male,302
"Business Development","Research Assistant II",Non-Conforming,18
"Business Development","Research Assistant III",Female,4
"Business Development","Research Assistant III",Male,6
Engineering,"Administrative Assistant I",Female,3
Engineering,"Administrative Assistant I",Male,1
Engineering,"Administrative Assistant II",Female,2
Engineering,"Administrative Assistant II",Male,1
Engineering,"Administrative Assistant II",Non-Conforming,1
Engineering,"Administrative Assistant III",Female,3
Engineering,"Administrative Assistant III",Male,3
Engineering,"Administrative Assistant IV",Male,1
Engineering,"Administrative Officer",Female,13
Engineering,"Administrative Officer",Male,10
Engineering,"Analog Circuit Design manager",Female,18
Engineering,"Analog Circuit Design manager",Male,17
Engineering,"Analog Circuit Design manager",Non-Conforming,1
Engineering,"Analyst Programmer",Female,132
Engineering,"Analyst Programmer",Male,150
Engineering,"Analyst Programmer",Non-Conforming,8
Engineering,"Assistant Manager",Female,7
Engineering,"Assistant Manager",Male,7
Engineering,"Associate Professor",Male,1
Engineering,"Automation Specialist I",Female,5
Engineering,"Automation Specialist I",Male,9
Engineering,"Automation Specialist I",Non-Conforming,2
Engineering,"Automation Specialist II",Female,7
Engineering,"Automation Specialist II",Male,11
Engineering,"Automation Specialist II",Non-Conforming,1
Engineering,"Automation Specialist III",Female,3
Engineering,"Automation Specialist III",Male,2
Engineering,"Automation Specialist IV",Female,6
Engineering,"Automation Specialist IV",Male,3
Engineering,"Business Analyst",Female,22
Engineering,"Business Analyst",Male,17
Engineering,"Business Analyst",Non-Conforming,4
Engineering,"Business Systems Development Analyst",Female,123
Engineering,"Business Systems Development Analyst",Male,139
Engineering,"Business Systems Development Analyst",Non-Conforming,10
Engineering,"Chief Design Engineer",Female,25
Engineering,"Chief Design Engineer",Male,29
Engineering,"Chief Design Engineer",Non-Conforming,2
Engineering,"Computer Systems Analyst I",Female,36
Engineering,"Computer Systems Analyst I",Male,33
Engineering,"Computer Systems Analyst I",Non-Conforming,2
Engineering,"Computer Systems Analyst II",Female,32
Engineering,"Computer Systems Analyst II",Male,43
Engineering,"Computer Systems Analyst III",Female,25
Engineering,"Computer Systems Analyst III",Male,29
Engineering,"Computer Systems Analyst III",Non-Conforming,1
Engineering,"Computer Systems Analyst IV",Female,24
Engineering,"Computer Systems Analyst IV",Male,29
Engineering,"Data Coordiator",Female,130
Engineering,"Data Coordiator",Male,142
Engineering,"Data Coordiator",Non-Conforming,12
Engineering,"Data Visualization Specialist",Female,152
Engineering,"Data Visualization Specialist",Male,183
Engineering,"Data Visualization Specialist",Non-Conforming,11
Engineering,"Database Administrator I",Female,29
Engineering,"Database Administrator I",Male,33
Engineering,"Database Administrator I",Non-Conforming,2
Engineering,"Database Administrator II",Female,31
Engineering,"Database Administrator II",Male,36
Engineering,"Database Administrator II",Non-Conforming,1
Engineering,"Database Administrator III",Female,37
Engineering,"Database Administrator III",Male,28
Engineering,"Database Administrator III",Non-Conforming,2
Engineering,"Database Administrator IV",Female,33
Engineering,"Database Administrator IV",Male,34
Engineering,"Database Administrator IV",Non-Conforming,2
Engineering,"Design Engineer",Female,11
Engineering,"Design Engineer",Male,9
Engineering,"Developer I",Female,41
Engineering,"Developer I",Male,24
Engineering,"Developer I",Non-Conforming,4
Engineering,"Developer II",Female,25
